"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.ASOC.age_4874955","CONS.ASOC.sex_4874955","CONS.ASOC.distance_4874955","CONS.SOCIAL.age_4874955","CONS.SOCIAL.sex_4874955","CONS.SOCIAL.distance_4874955","OFFs1","OFFs2","OFFASOC.age_4874955","OFFASOC.sex_4874955","OFFASOC.distance_4874955","OFFSOCIAL.age_4874955","OFFSOCIAL.sex_4874955","OFFSOCIAL.distance_4874955","convergence","loglik","Baseline.parameter1","s1","s2","ASOCIALage_4874955","ASOCIALsex_4874955","ASOCIALdistance_4874955","SOCIALage_4874955","SOCIALsex_4874955","SOCIALdistance_4874955","SE.Baseline.parameter1","SEs1","SEs2","SEasocialage_4874955","SEasocialsex_4874955","SEasocialdistance_4874955","SEsocialage_4874955","SEsocialsex_4874955","SEsocialdistance_4874955","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"142",142,"socialEffectsOnly","0:1","constant",0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,TRUE,649.149849245558,1713872785.46574,0,0.0311957088817518,0,0,0,0,-0.0414003733380627,0.733724915388028,NA,0,NA,0,0,0,0,NA,NA,1306.29969849112,1307.72826991969,200.460227528065,2.95538913070316e-44,2.90251382485336e-44
"145",145,"unconstrained","0:1","constant",0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,TRUE,649.177140317799,1713872785.46574,0,0.0312220888622833,0,0,0.150833784579391,0,0,0.823761957364322,NA,0,NA,0,0,NA,0,0,NA,1306.3542806356,1307.78285206417,200.514809672549,2.8758240390628e-44,2.82437224408394e-44
"172",172,"socialEffectsOnly","1:2","constant",1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,TRUE,649.258405869347,1713872785.46574,0.142720542958203,0.031216097590621,0,0,0,0,0,0.726209736599006,NA,NA,NA,0,0,0,0,0,NA,1306.51681173869,1307.94538316727,200.677340775644,2.65136261958963e-44,2.60392669720191e-44
"162",162,"unconstrained","1:0","constant",1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,TRUE,649.271008212255,1713872785.46574,14.646231035113,0,0,0,1.42946152909541,-11.9006948510895,0,0,NA,NA,0,0,0,NA,NA,0,0,1306.54201642451,1307.97058785308,200.70254546146,2.61815890045884e-44,2.57131703074126e-44
"148",148,"unconstrained","0:1","constant",0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,TRUE,649.281246757871,1713872785.46574,0,0.0312162360322917,0,-0.00845643380493184,0,0,0,0.728332026902435,NA,0,NA,0,NA,0,0,0,NA,1306.56249351574,1307.99106494431,200.723022552691,2.5914895219256e-44,2.5451247980201e-44
"40",40,"unconstrained","0:1","constant",0,1,0,2,3,4,0,5,0,0,0,0,0,0,0,0,TRUE,646.459277831002,1713872785.46574,0,0.0312120210566821,0,0.0605010638905938,0.231265227630998,-0.358938947270946,0,1.2484693790561,NA,0,NA,0,NA,NA,NA,0,NA,1304.918555662,1308.14932489277,200.881282501152,2.39432856080274e-44,2.35149127293357e-44
"47",47,"unconstrained","0:1","constant",0,1,2,3,0,4,0,5,0,0,0,0,0,0,0,0,TRUE,646.470390797909,1713872785.46574,0,0.0312119797712436,-0.455268609956194,0.0827251511787666,0,-0.341675417318908,0,1.25740154612992,NA,0,NA,NA,NA,0,NA,0,NA,1304.94078159582,1308.17155082659,200.903508434966,2.36786776802054e-44,2.32550389412479e-44
"69",69,"unconstrained","1:2","constant",1,2,0,0,3,4,0,5,0,0,0,0,0,0,0,0,TRUE,646.490202271723,1713872785.46574,0.0205831423623225,0.0312120023621189,0,0,0.22896391673305,-0.358606887891254,0,1.24884310987307,NA,NA,NA,0,0,NA,NA,0,NA,1304.98040454345,1308.21117377422,200.943131382594,2.32141845169489e-44,2.27988560941583e-44
"78",78,"unconstrained","1:2","constant",1,2,3,0,0,4,0,5,0,0,0,0,0,0,0,0,TRUE,646.562025961785,1713872785.46574,0.020778091676715,0.0312119707756134,-0.452308412637471,0,0,-0.340231064080051,0,1.2586909862141,NA,NA,NA,NA,0,0,NA,0,NA,1305.12405192357,1308.35482115434,201.086778762718,2.1605324811777e-44,2.12187807369074e-44
"154",154,"unconstrained","0:1","constant",0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,TRUE,649.603190686322,1713872785.46574,0,0.031191494276445,-0.287178069292798,0,0,-0.333161887097621,0,0,NA,0,NA,NA,0,0,NA,0,0,1307.20638137264,1308.63495280122,201.366910409594,1.87815307479687e-44,1.84455075920636e-44
"6",6,"unconstrained","1:2","constant",1,2,3,4,0,5,6,7,0,0,0,0,0,0,0,0,TRUE,643.407781578565,1713872785.46574,0.457319269286669,0.0308582629863862,-0.33100694502605,0.154406648211682,0,-0.477153616488662,0.0879685648592567,1.0405572612943,NA,NA,NA,NA,NA,0,NA,NA,NA,1302.81556315713,1308.81556315713,201.547520765508,1.71597890691704e-44,1.68527807344897e-44
"97",97,"unconstrained","0:1","constant",0,1,2,0,0,0,3,4,0,0,0,0,0,0,0,0,TRUE,648.365405228104,1713872785.46574,0,0.0311418269767514,-0.28302661937815,0,0,0,-0.0616982985171748,0.743339858883078,NA,0,NA,NA,0,0,0,NA,NA,1306.73081045621,1308.95303267843,201.68499028681,1.60199375171084e-44,1.5733322435828e-44
"10",10,"unconstrained","0:1","constant",0,1,0,2,3,4,5,6,0,0,0,0,0,0,0,0,TRUE,645.284306878492,1713872785.46574,0,0.03111521048133,0,0.130416465129556,0.715533328158246,-0.380288419717415,0.0643624030649292,0.848527043145852,NA,0,NA,0,NA,NA,NA,NA,NA,1304.56861375698,1309.04861375698,201.780571365362,1.52723423353035e-44,1.49991025904479e-44
"147",147,"unconstrained","0:1","constant",0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,TRUE,649.954943969851,1713872785.46574,0,0.0312060001720283,0,0,0.319011483693576,-0.33188540619263,0,0,NA,0,NA,0,0,NA,NA,0,0,1307.9098879397,1309.33845936827,202.070416976652,1.32119364356053e-44,1.29755597186975e-44
"100",100,"unconstrained","0:1","constant",0,1,2,0,3,0,0,4,0,0,0,0,0,0,0,0,TRUE,648.61114495826,1713872785.46574,0,0.0312219658673724,-0.354865542933139,0,0.143632280710569,0,0,0.7844317417485,NA,0,NA,NA,0,NA,0,0,NA,1307.22228991652,1309.44451213874,202.17646974712,1.25296058407665e-44,1.23054368018656e-44
"62",62,"unconstrained","1:0","constant",1,0,2,3,0,4,0,5,0,0,0,0,0,0,0,0,TRUE,647.145462736884,1713872785.46574,17.3499102029423,0,0.102349453695898,-0.184724965472745,0,-12.3993925165679,0,0.750615024485843,NA,NA,0,NA,NA,0,NA,0,NA,1306.29092547377,1309.52169470454,202.253652312917,1.20552834964352e-44,1.18396006290395e-44
"2",2,"unconstrained","0:1","constant",0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,TRUE,643.7693770062,1713872785.46574,0,0.0310262025933449,-0.333247695944068,0.177042227743209,0.44234098474434,-0.463379028495763,0.0933687709571904,1.03164091966833,NA,0,NA,NA,NA,NA,NA,NA,NA,1303.5387540124,1309.5387540124,202.270711620778,1.19528933970125e-44,1.17390424060918e-44
"191",191,"noILVs","0:1","constant",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,652.669690386716,1713872785.46574,0,0.0312194985403172,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,1309.33938077343,1309.73938077343,202.47133838181,1.08120363869061e-44,1.06185966381848e-44
"5",5,"unconstrained","1:2","constant",1,2,3,0,4,5,6,7,0,0,0,0,0,0,0,0,TRUE,643.875871337047,1713872785.46574,0.401994599059165,0.0310228394976693,-0.307400871003442,0,0.375979984976739,-0.469950508788754,0.0919983910815881,1.04353113817455,NA,NA,NA,NA,0,NA,NA,NA,NA,1303.75174267409,1309.75174267409,202.483700282473,1.07454138344629e-44,1.05531660397217e-44
"103",103,"unconstrained","0:1","constant",0,1,2,3,0,0,0,4,0,0,0,0,0,0,0,0,TRUE,648.773012192207,1713872785.46574,0,0.0312219337632574,-0.349457280657205,0.0376406845395491,0,0,0,0.772476757376224,NA,0,NA,NA,NA,0,0,0,NA,1307.54602438441,1309.76824660664,202.500204215014,1.06571078918673e-44,1.04664399918595e-44
"137",137,"unconstrained","1:2","constant",1,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,TRUE,648.806291694324,1713872785.46574,0.0113299711577739,0.0312219008049882,-0.346861232574689,0,0,0,0,0.766738180859168,NA,NA,NA,NA,0,0,0,0,NA,1307.61258338865,1309.83480561087,202.566763219248,1.03082812299704e-44,1.01238542395759e-44
"174",174,"socialEffectsOnly","1:2","constant",1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,TRUE,650.212334630563,1713872785.46574,0.134121709092338,0.0312095712591759,0,0,0,-0.323908800942695,0,0,NA,NA,NA,0,0,0,NA,0,0,1308.42466926113,1309.8532406897,202.585198298075,1.021370081047e-44,1.00309659724071e-44
"46",46,"unconstrained","0:1","constant",0,1,2,3,0,0,4,5,0,0,0,0,0,0,0,0,TRUE,647.385385872453,1713872785.46574,0,0.0309422811435844,-0.326761962715558,0.167035381284724,0,0,-0.0669230559416219,0.709559855095988,NA,0,NA,NA,NA,0,0,NA,NA,1306.77077174491,1310.00154097568,202.733498584054,9.4837508064503e-45,9.31407561231602e-45
"90",90,"unconstrained","0:1","constant",0,1,0,0,2,3,4,0,0,0,0,0,0,0,0,0,TRUE,648.947987773087,1713872785.46574,0,0.0310289982737799,0,0,0.438254683917303,-0.341954056698078,-0.123687959053861,0,NA,0,NA,0,0,NA,NA,NA,0,1307.89597554617,1310.1181977684,202.850155376774,8.94640250153221e-45,8.7863410857242e-45
"150",150,"unconstrained","0:1","constant",0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,TRUE,650.397851915636,1713872785.46574,0,0.0312200622843308,0,0.00722448160054898,0,-0.249700990720418,0,0,NA,0,NA,0,NA,0,NA,0,0,1308.79570383127,1310.22427525984,202.956232868222,8.48426058088606e-45,8.33246741481421e-45
"112",112,"unconstrained","1:0","constant",1,0,0,2,0,3,0,4,0,0,0,0,0,0,0,0,TRUE,649.022040408971,1713872785.46574,13.6997716098227,0,0,-0.10004437669904,0,-12.0280094135569,0,-1.98342066290846,NA,NA,0,0,NA,0,NA,0,NA,1308.04408081794,1310.26630304016,202.998260648542,8.307833463216e-45,8.15919678090803e-45
"127",127,"socialEffectsOnly","1:2","constant",1,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,TRUE,649.129650928769,1713872785.46574,0.151125648089307,0.0311954767526024,0,0,0,0,-0.0413660440519501,0.734061395692106,NA,NA,NA,0,0,0,0,NA,NA,1308.25930185754,1310.48152407976,203.213481688139,7.46024563533712e-45,7.32677327273516e-45
"88",88,"unconstrained","0:1","constant",0,1,0,0,2,0,3,4,0,0,0,0,0,0,0,0,TRUE,649.152734818032,1713872785.46574,0,0.0312078811367664,0,0,0.156366598774319,0,0.0189256487583849,0.645989105096878,NA,0,NA,0,0,NA,0,NA,NA,1308.30546963606,1310.52769185829,203.259649466664,7.29000660021915e-45,7.15958000947711e-45
"94",94,"unconstrained","0:1","constant",0,1,0,2,3,0,0,4,0,0,0,0,0,0,0,0,TRUE,649.161253061935,1713872785.46574,0,0.0312220999381845,0,0.0402382679761269,0.151204281081305,0,0,0.825785385673972,NA,0,NA,0,NA,NA,0,0,NA,1308.32250612387,1310.54472834609,203.27668595447,7.22817227974892e-45,7.09885197601759e-45
"130",130,"unconstrained","1:2","constant",1,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,TRUE,649.175735302535,1713872785.46574,0.0121752215453007,0.0312220781438347,0,0,0.150866262762669,0,0,0.82393933338431,NA,NA,NA,0,0,NA,0,0,NA,1308.35147060507,1310.57369282729,203.30565043567,7.1242465051343e-45,6.99678555287089e-45
"14",14,"unconstrained","0:1","constant",0,1,2,3,4,5,0,6,0,0,0,0,0,0,0,0,TRUE,646.065887730706,1713872785.46574,0,0.0312118900873156,-0.457710726016696,0.0915396063331067,0.240935858777654,-0.345117059831,0,1.253265755607,NA,0,NA,NA,NA,NA,NA,0,NA,1306.13177546141,1310.61177546141,203.343733069791,6.98987483532088e-45,6.86481794655797e-45
"91",91,"unconstrained","0:1","constant",0,1,0,2,0,0,3,4,0,0,0,0,0,0,0,0,TRUE,649.204970778725,1713872785.46574,0,0.0311956227036306,0,-0.0608066188078732,0,0,-0.0402245578324524,0.740512023670308,NA,0,NA,0,NA,0,0,NA,NA,1308.40994155745,1310.63216377967,203.36412138805,6.91898090490254e-45,6.79519238997739e-45
"133",133,"unconstrained","1:2","constant",1,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,TRUE,649.262432375004,1713872785.46574,0.142776958319138,0.0312160949737905,0,-0.00842699260295773,0,0,0,0.728479062846431,NA,NA,NA,0,NA,0,0,0,NA,1308.52486475001,1310.74708697223,203.479044580609,6.53261220328013e-45,6.41573626817631e-45
"105",105,"unconstrained","0:1","constant",0,1,2,3,0,4,0,0,0,0,0,0,0,0,0,0,TRUE,649.318899374129,1713872785.46574,0,0.0311356239239856,-0.308809433329353,0.095163434445348,0,-0.362143222877092,0,0,NA,0,NA,NA,NA,0,NA,0,0,1308.63779874826,1310.86002097048,203.591978578859,6.17395659213224e-45,6.06349741783233e-45
"29",29,"unconstrained","1:2","constant",1,2,3,0,4,5,0,6,0,0,0,0,0,0,0,0,TRUE,646.217534444001,1713872785.46574,0.0207053632909352,0.0312118874216213,-0.454898507199476,0,0.238855568115526,-0.342852344936837,0,1.2551163308613,NA,NA,NA,NA,0,NA,NA,0,NA,1306.435068888,1310.915068888,203.647026496381,6.00634215343091e-45,5.89888179394665e-45
"179",179,"socialEffectsOnly","0:1","constant",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,TRUE,652.058201223796,1713872785.46574,0,0.0312087023933444,0,0,0,0,-0.16179842992295,0,NA,0,NA,0,0,0,0,NA,0,1310.11640244759,1310.94398865449,203.675946262868,5.92011605919857e-45,5.81419838357189e-45
"102",102,"unconstrained","0:1","constant",0,1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,TRUE,649.379929927526,1713872785.46574,0,0.031198141997561,-0.238120525805716,0,0.284100768164518,-0.367095382932091,0,0,NA,0,NA,NA,0,NA,NA,0,0,1308.75985985505,1310.98208207727,203.714039685653,5.80842437343858e-45,5.70450499034944e-45
"183",183,"additive","0:1","constant",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,652.08775808632,1713872785.46574,0,0.0312125428662458,-0.280608507908546,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,1310.17551617264,1311.00310237954,203.735059987915,5.74769664326718e-45,5.64486374901737e-45
"104",104,"unconstrained","0:1","constant",0,1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,TRUE,649.423125359237,1713872785.46574,0,0.0307799419960082,-0.314116294398958,0.189116469227008,0,0,-0.135733250522251,0,NA,0,NA,NA,NA,0,0,NA,0,1308.84625071847,1311.0684729407,203.800430549074,5.5628685984945e-45,5.463342490243e-45
"139",139,"unconstrained","1:2","constant",1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,TRUE,649.581776909117,1713872785.46574,0.158972105682509,0.0311911574873328,-0.287617652222344,0,0,-0.333358104525636,0,0,NA,NA,NA,NA,0,0,NA,0,0,1309.16355381823,1311.38577604046,204.117733648835,4.74676038102641e-45,4.66183538609595e-45
"25",25,"unconstrained","1:2","constant",1,2,0,3,4,5,0,6,0,0,0,0,0,0,0,0,TRUE,646.456241608086,1713872785.46574,0.0205767669130187,0.0312120012741209,0,0.0604996225076376,0.231256983638549,-0.358968192067512,0,1.24843095602277,NA,NA,NA,0,NA,NA,NA,0,NA,1306.91248321617,1311.39248321617,204.12444082455,4.7308683655792e-45,4.64622769705727e-45
"32",32,"unconstrained","1:2","constant",1,2,3,4,0,5,0,6,0,0,0,0,0,0,0,0,TRUE,646.467284884161,1713872785.46574,0.0207547622308654,0.0312119598799834,-0.455258810029096,0.0827229806493548,0,-0.341705285983452,0,1.25736925925556,NA,NA,NA,NA,NA,0,NA,0,NA,1306.93456976832,1311.41456976832,204.146527376701,4.67891149520131e-45,4.59520039476356e-45
"49",49,"unconstrained","0:1","constant",0,1,2,3,4,0,0,5,0,0,0,0,0,0,0,0,TRUE,648.177626030189,1713872785.46574,0,0.0312000814842723,-0.333384428942075,0.174151254975108,0.464137492341721,0,0,0.715484731523269,NA,0,NA,NA,NA,NA,0,0,NA,1308.35525206038,1311.58602129115,204.317978899525,4.29451975794693e-45,4.21768586716739e-45
"181",181,"additive","0:1","constant",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,652.388598837657,1713872785.46574,0,0.0312155255622298,0,0,0.333030080933727,0,0,0,NA,0,NA,0,0,NA,0,0,0,1310.77719767531,1311.60478388221,204.336741490589,4.2544199869238e-45,4.17830352710296e-45
"77",77,"unconstrained","1:2","constant",1,2,3,0,0,0,4,5,0,0,0,0,0,0,0,0,TRUE,648.316122721994,1713872785.46574,0.365416437383831,0.0311399766132022,-0.284658567526814,0,0,0,-0.063927038203902,0.747461452360723,NA,NA,NA,NA,0,0,0,NA,NA,1308.63224544399,1311.86301467476,204.594972283136,3.73909290471976e-45,3.67219623825917e-45
"45",45,"unconstrained","0:1","constant",0,1,2,0,3,4,5,0,0,0,0,0,0,0,0,0,TRUE,648.397000992224,1713872785.46574,0,0.0310304452737531,-0.31912529932487,0,0.448060776990842,-0.362905154156439,-0.137288066568377,0,NA,0,NA,NA,0,NA,NA,NA,0,1308.79400198445,1312.02477121522,204.756728823595,3.44858765869112e-45,3.38688846473091e-45
"132",132,"unconstrained","1:2","constant",1,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,TRUE,649.931700966819,1713872785.46574,0.176971240467896,0.0312057011681776,0,0,0.321070566722847,-0.332494438750462,0,0,NA,NA,NA,0,0,NA,NA,0,0,1309.86340193364,1312.08562415586,204.817581764238,3.34523954079154e-45,3.28538936335717e-45
"43",43,"unconstrained","0:1","constant",0,1,2,0,3,0,4,5,0,0,0,0,0,0,0,0,TRUE,648.445129979821,1713872785.46574,0,0.0311536495565537,-0.335295522873931,0,0.248640677371288,0,-0.0993877269954744,0.863289573957651,NA,0,NA,NA,0,NA,0,NA,NA,1308.89025995964,1312.12102919041,204.852986798789,3.28654146477053e-45,3.22774146333165e-45
"96",96,"unconstrained","0:1","constant",0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,TRUE,649.990093276868,1713872785.46574,0,0.0312057005387354,0,-0.017128259568789,0.392540170938893,-0.331465473263773,0,0,NA,0,NA,0,NA,NA,NA,0,0,1309.98018655374,1312.20240877596,204.934366384337,3.15549694081219e-45,3.0990414764132e-45
"153",153,"unconstrained","0:1","constant",0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,TRUE,651.439427977756,1713872785.46574,0,0.0311937588526039,-0.29018046843471,0,0,0,-0.157322918404004,0,NA,0,NA,NA,0,0,0,NA,0,1310.87885595551,1312.30742738408,205.039384992462,2.99407905013917e-45,2.9405115371948e-45
"80",80,"unconstrained","1:2","constant",1,2,3,0,4,0,0,5,0,0,0,0,0,0,0,0,TRUE,648.609758008499,1713872785.46574,0.0115935061395021,0.0312219555725442,-0.35492924107462,0,0.143658062609999,0,0,0.784572546756016,NA,NA,NA,NA,0,NA,0,0,NA,1309.219516017,1312.45028524777,205.182242856146,2.78767455836037e-45,2.73779985883208e-45
"4",4,"unconstrained","1:2","constant",1,2,0,3,4,5,6,7,0,0,0,0,0,0,0,0,TRUE,645.267072892206,1713872785.46574,0.130080228615381,0.0311138357188368,0,0.131301426268224,0.720762796953412,-0.381827302477728,0.0648589826357263,0.850619480330161,NA,NA,NA,0,NA,NA,NA,NA,NA,1306.53414578441,1312.53414578441,205.26610339279,2.6732032925354e-45,2.62537661542439e-45
"83",83,"unconstrained","1:2","constant",1,2,3,4,0,0,0,5,0,0,0,0,0,0,0,0,TRUE,648.771643422016,1713872785.46574,0.0114168795971542,0.0312219236394422,-0.349521895826759,0.0376476443631652,0,0,0,0.772619589478399,NA,NA,NA,NA,NA,0,0,0,NA,1309.54328684403,1312.7740560748,205.506013683179,2.37102498112771e-45,2.32860462106337e-45
"59",59,"unconstrained","1:0","constant",1,0,2,0,3,4,0,5,0,0,0,0,0,0,0,0,TRUE,648.821097968663,1713872785.46574,15.4401200454883,0,0.185406991591133,0,0.789391526291378,-11.0172464947132,0,-3.11260874567302,NA,NA,0,NA,0,NA,NA,0,NA,1309.64219593733,1312.8729651681,205.604922776474,2.25661927319078e-45,2.21624576263783e-45
"155",155,"additive","0:1","constant",0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,651.724854289135,1713872785.46574,0,0.0312075735643834,-0.306499465964441,0,0.376957805854765,0,0,0,NA,0,NA,NA,0,NA,0,0,0,1311.44970857827,1312.87828000684,205.610237615219,2.25063045034823e-45,2.21036408671417e-45
"156",156,"additive","0:1","constant",0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,651.742498823152,1713872785.46574,0,0.0311488417602182,-0.329034824100611,0.124141519468939,0,0,0,0,NA,0,NA,NA,NA,0,0,0,0,1311.4849976463,1312.91356907488,205.645526683254,2.21126741722973e-45,2.17170530346709e-45
"146",146,"unconstrained","0:1","constant",0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,TRUE,651.781605454938,1713872785.46574,0,0.0312053253384195,0,0,0.331906734767695,0,-0.160863173042883,0,NA,0,NA,0,0,NA,0,NA,0,1311.56321090988,1312.99178233845,205.723739946826,2.12646124618266e-45,2.08841641222101e-45
"135",135,"unconstrained","1:2","constant",1,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,TRUE,650.397598224598,1713872785.46574,0.00219080853023506,0.0312200602334717,0,0.00722420377178026,0,-0.24969138805017,0,0,NA,NA,NA,0,NA,0,NA,0,0,1310.7951964492,1313.01741867142,205.749376279796,2.099377862394e-45,2.06181758127394e-45
"70",70,"unconstrained","1:2","constant",1,2,0,0,3,4,5,0,0,0,0,0,0,0,0,0,TRUE,648.9152663571,1713872785.46574,0.263025068814101,0.0310286368647498,0,0,0.439683111581139,-0.342377175922411,-0.123880482787054,0,NA,NA,NA,0,0,NA,NA,NA,0,1309.8305327142,1313.06130194497,205.793259553347,2.05381575738161e-45,2.01707063464887e-45
"51",51,"unconstrained","0:1","constant",0,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,TRUE,648.990375846369,1713872785.46574,0,0.03116461980288,-0.308368581838166,0.151683488183619,0.436283954471245,-0.342937237055549,0,0,NA,0,NA,NA,NA,NA,NA,0,0,1309.98075169274,1313.21152092351,205.943478531886,1.90520558004263e-45,1.87111926406314e-45
"1",1,"unconstrained","1:2","constant",1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,TRUE,643.706912574513,1713872785.46574,0.434162125061055,0.031023354733514,-0.33459505810736,0.176316130294354,0.440604422813316,-0.465915406872646,0.0939858885276592,1.03679283906281,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305.41382514903,1313.23991210555,205.971869713927,1.87835111925249e-45,1.84474526041921e-45
"39",39,"unconstrained","0:1","constant",0,1,0,2,3,0,4,5,0,0,0,0,0,0,0,0,TRUE,649.133556806707,1713872785.46574,0,0.0312078628797886,0,0.0412426114106377,0.157619596635235,0,0.0185053550220571,0.644590129479712,NA,0,NA,0,NA,NA,0,NA,NA,1310.26711361341,1313.49788284418,206.229840452561,1.65104588772867e-45,1.62150678055027e-45
"173",173,"socialEffectsOnly","1:2","constant",1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,TRUE,652.039960269284,1713872785.46574,0.136943488024489,0.0312084992881411,0,0,0,0,-0.161855087409315,0,NA,NA,NA,0,0,0,0,NA,0,1312.07992053857,1313.50849196714,206.240449575518,1.64231100116706e-45,1.61292817114138e-45
"41",41,"unconstrained","0:1","constant",0,1,0,2,3,4,5,0,0,0,0,0,0,0,0,0,TRUE,649.14026843521,1713872785.46574,0,0.0310593119041236,0,-0.00490001000937348,0.501758189511008,-0.336808697164365,-0.119440254285045,0,NA,0,NA,0,NA,NA,NA,NA,0,1310.28053687042,1313.51130610119,206.243263709569,1.64000178450415e-45,1.61066026901673e-45
"68",68,"unconstrained","1:2","constant",1,2,0,0,3,0,4,5,0,0,0,0,0,0,0,0,TRUE,649.150952267159,1713872785.46574,0.0141112331077623,0.0312078659878904,0,0,0.156333054125162,0,0.0188884689936804,0.645862971392462,NA,NA,NA,0,0,NA,0,NA,NA,1310.30190453432,1313.53267376509,206.264631373466,1.62257354700099e-45,1.59354384269905e-45
"74",74,"unconstrained","1:2","constant",1,2,0,3,4,0,0,5,0,0,0,0,0,0,0,0,TRUE,649.159844578281,1713872785.46574,0.0122051245696112,0.0312220891937344,0,0.0402469216331714,0.151236799104939,0,0,0.825962979278319,NA,NA,NA,0,NA,NA,0,0,NA,1310.31968915656,1313.55045838733,206.28241599571,1.60820907951267e-45,1.57943637203186e-45
"66",66,"unconstrained","1:0","constant",1,0,2,3,4,5,0,0,0,0,0,0,0,0,0,0,TRUE,649.162203056027,1713872785.46574,14.5083192816774,0,0.0556634532960657,0.650317733290649,0.670147069520926,-11.8019671725546,0,0,NA,NA,0,NA,NA,NA,NA,0,0,1310.32440611205,1313.55517534282,206.287132951202,1.60442062343877e-45,1.57571569578822e-45
"177",177,"additive","1:2","constant",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,652.068694137908,1713872785.46574,0.143013382277002,0.0312123190731421,-0.280905678158191,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1312.13738827582,1313.56595970439,206.297917312767,1.595792580276e-45,1.56724201822705e-45
"71",71,"unconstrained","1:2","constant",1,2,0,3,0,0,4,5,0,0,0,0,0,0,0,0,TRUE,649.184829739382,1713872785.46574,0.151231398258629,0.0311953904275134,0,-0.0608284915680889,0,0,-0.0401897222227296,0.740851594751538,NA,NA,NA,0,NA,0,0,NA,NA,1310.36965947876,1313.60042870953,206.332386317911,1.56852553088284e-45,1.54046280766408e-45
"116",116,"unconstrained","1:0","constant",1,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,TRUE,650.710420779996,1713872785.46574,15.419906056653,0,0,0.260984882532388,-0.49376752880802,-11.6863324217181,0,0,NA,NA,0,0,NA,NA,NA,0,0,1311.42084155999,1313.64306378221,206.375021390593,1.53544231010167e-45,1.50797148369918e-45
"149",149,"unconstrained","0:1","constant",0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,TRUE,652.113526942063,1713872785.46574,0,0.0312201381240929,0,0.0103175877084633,0,0,-0.16905012034988,0,NA,0,NA,0,NA,0,0,NA,0,1312.22705388413,1313.6556253127,206.387582921075,1.52582877917938e-45,1.49852994988635e-45
"85",85,"unconstrained","1:2","constant",1,2,3,4,0,5,0,0,0,0,0,0,0,0,0,0,TRUE,649.271801610257,1713872785.46574,0.411826061081147,0.0311353523981792,-0.309914416822286,0.094861120277529,0,-0.364993657397018,0,0,NA,NA,NA,NA,NA,0,NA,0,0,1310.54360322051,1313.77437245128,206.506330059662,1.43787187358461e-45,1.41214669435229e-45
"82",82,"unconstrained","1:2","constant",1,2,3,0,4,5,0,0,0,0,0,0,0,0,0,0,TRUE,649.350575013616,1713872785.46574,0.235427220773735,0.0311977068906342,-0.237371295014611,0,0.285519347320757,-0.368098509962714,0,0,NA,NA,NA,NA,0,NA,NA,0,0,1310.70115002723,1313.931919258,206.663876866379,1.32895211940007e-45,1.30517563966581e-45
