"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.ASOC.age_4874955","CONS.ASOC.sex_4874955","CONS.ASOC.distance_4874955","CONS.SOCIAL.age_4874955","CONS.SOCIAL.sex_4874955","CONS.SOCIAL.distance_4874955","OFFs1","OFFs2","OFFASOC.age_4874955","OFFASOC.sex_4874955","OFFASOC.distance_4874955","OFFSOCIAL.age_4874955","OFFSOCIAL.sex_4874955","OFFSOCIAL.distance_4874955","convergence","loglik","Baseline.parameter1","s1","s2","ASOCIALage_4874955","ASOCIALsex_4874955","ASOCIALdistance_4874955","SOCIALage_4874955","SOCIALsex_4874955","SOCIALdistance_4874955","SE.Baseline.parameter1","SEs1","SEs2","SEasocialage_4874955","SEasocialsex_4874955","SEasocialdistance_4874955","SEsocialage_4874955","SEsocialsex_4874955","SEsocialdistance_4874955","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"115",115,"unconstrained","1:0","constant",1,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,TRUE,631.660284463126,1713872785.46574,10.1266143623879,0,0,0.289181539335963,0.829260184861927,0,-13.3775367915587,0,NA,NA,0,0,NA,NA,0,NA,0,1273.32056892625,1275.54279114847,168.274748756852,2.88139358949248e-37,2.82984214885974e-37
"161",161,"unconstrained","1:0","constant",1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,TRUE,633.286876191027,1713872785.46574,6.91335122332239,0,0,0,0.41155261526662,0,-13.9478986030421,0,NA,NA,0,0,0,NA,0,NA,0,1274.57375238205,1276.00232381063,168.734281419004,2.28989904462431e-37,2.24893012073818e-37
"168",168,"unconstrained","1:0","constant",1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,TRUE,633.291717090021,1713872785.46574,7.21901892547032,0,-0.210446094269083,0,0,0,-13.8321008974054,0,NA,NA,0,NA,0,0,0,NA,0,1274.58343418004,1276.01200560861,168.743963216992,2.27884066249383e-37,2.2380695857647e-37
"56",56,"unconstrained","1:0","constant",1,0,0,2,3,4,5,0,0,0,0,0,0,0,0,0,TRUE,630.903385394742,1713872785.46574,10.8726608650181,0,0,0.532335391750625,0.638965456482273,-0.00313401834842922,-13.0193189147121,0,NA,NA,0,0,NA,NA,NA,NA,0,1273.80677078948,1277.03754002025,169.769497628631,1.36465223934093e-37,1.34023704345889e-37
"54",54,"unconstrained","1:0","constant",1,0,0,2,3,0,4,5,0,0,0,0,0,0,0,0,TRUE,630.945034762683,1713872785.46574,10.0581467675283,0,0,0.523287188706755,0.672633618086022,0,-13.1144767677355,-0.224720003523176,NA,NA,0,0,NA,NA,0,NA,NA,1273.89006952537,1277.12083875613,169.852796364513,1.30898268413288e-37,1.2855634805307e-37
"61",61,"unconstrained","1:0","constant",1,0,2,3,0,0,4,5,0,0,0,0,0,0,0,0,TRUE,631.078807084168,1713872785.46574,10.5543491302028,0,-0.26119652423712,0.446012136852931,0,0,-13.0729713126425,-0.33366228699714,NA,NA,0,NA,NA,0,0,NA,NA,1274.15761416834,1277.38838339911,170.120341007484,1.14508393161234e-37,1.12459706493252e-37
"93",93,"unconstrained","0:1","constant",0,1,0,2,0,3,4,0,0,0,0,0,0,0,0,0,TRUE,632.715062232584,1713872785.46574,0,0.0265906611670308,0,0.113574072376596,0,-0.751858583756169,-0.264239682108578,0,NA,0,NA,0,NA,0,NA,NA,0,1275.43012446517,1277.65234668739,170.384304295768,1.00350241205705e-37,9.85548601370227e-38
"121",121,"unconstrained","1:0","constant",1,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,TRUE,632.728818900054,1713872785.46574,7.73237934096444,0,-0.189615239909342,0,0.47187794138242,0,-13.6685058534385,0,NA,NA,0,NA,0,NA,0,NA,0,1275.45763780011,1277.67986002233,170.411817630709,9.89792083501908e-38,9.72083566339423e-38
"63",63,"unconstrained","1:0","constant",1,0,2,3,0,4,5,0,0,0,0,0,0,0,0,0,TRUE,631.537263677653,1713872785.46574,8.88758007867863,0,-0.236509854548853,0.47438935049876,0,-0.211024463029231,-13.4322964156566,0,NA,NA,0,NA,NA,0,NA,NA,0,1275.07452735531,1278.30529658608,171.037254194454,7.23989306706877e-38,7.11036306499082e-38
"117",117,"unconstrained","1:0","constant",1,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,TRUE,633.213775364041,1713872785.46574,7.379536119845,0,-0.158165148871399,0,0,0,-13.9538540630588,-0.52001673555181,NA,NA,0,NA,0,0,0,NA,NA,1276.42755072808,1278.6497729503,171.381730558682,6.09438743147425e-38,5.98535184084469e-38
"129",129,"socialEffectsOnly","1:2","constant",1,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,TRUE,633.428425062927,1713872785.46574,3.79414709203988,0.0265711202127404,0,0,0,-0.804336750900573,-0.294060062406894,0,NA,NA,NA,0,0,0,NA,NA,0,1276.85685012585,1279.07907234808,171.811029956454,4.91709817929377e-38,4.82912564551721e-38
"159",159,"socialEffectsOnly","1:0","constant",1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,TRUE,635.382469539226,1713872785.46574,11.2525244398348,0,0,0,0,0.937014689431082,-12.2886683484223,0,NA,NA,0,0,0,0,NA,NA,0,1278.76493907845,1280.19351050702,172.925468115402,2.81651266504121e-38,2.76612201866347e-38
"52",52,"unconstrained","1:0","constant",1,0,0,0,2,3,4,5,0,0,0,0,0,0,0,0,TRUE,632.577387109245,1713872785.46574,9.07944945633653,0,0,0,0.388883460731886,-0.161082897270156,-13.3871384739789,-0.326792341473003,NA,NA,0,0,0,NA,NA,NA,NA,1277.15477421849,1280.38554344926,173.117501057638,2.5586582626822e-38,2.51288092771167e-38
"108",108,"unconstrained","1:0","constant",1,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,TRUE,634.188572822329,1713872785.46574,7.48429628368943,0,0,0,0.394596675982383,0,-14.1260179390355,-1.2331913964357,NA,NA,0,0,0,NA,0,NA,NA,1278.37714564466,1280.59936786688,173.33132547526,2.29922198000033e-38,2.25808625809281e-38
"60",60,"unconstrained","1:0","constant",1,0,2,0,3,4,5,0,0,0,0,0,0,0,0,0,TRUE,632.731765308754,1713872785.46574,7.70987528922629,0,-0.161195391585508,0,0.407556225939503,-0.285162695771806,-13.5673615119448,0,NA,NA,0,NA,0,NA,NA,NA,0,1277.46353061751,1280.69429984828,173.426257456656,2.19263672896169e-38,2.15340793960975e-38
"16",16,"unconstrained","1:0","constant",1,0,0,2,3,4,5,6,0,0,0,0,0,0,0,0,TRUE,631.202273541134,1713872785.46574,9.4456439549908,0,0,0.553478325590026,0.62145195146036,-0.349865915173195,-13.0658516107778,-0.116764077347622,NA,NA,0,0,NA,NA,NA,NA,NA,1276.40454708227,1280.88454708227,173.616504690646,1.9936780287183e-38,1.95800883902028e-38
"65",65,"unconstrained","1:0","constant",1,0,2,3,4,0,5,0,0,0,0,0,0,0,0,0,TRUE,632.874437788217,1713872785.46574,10.2403474929261,0,0.137322398243418,0.533077980019718,0.962554803428022,0,-13.6690795255784,0,NA,NA,0,NA,NA,NA,0,NA,0,1277.74887557643,1280.9796448072,173.711602415581,1.90109935356492e-38,1.86708650269317e-38
"57",57,"unconstrained","1:0","constant",1,0,2,0,0,3,4,5,0,0,0,0,0,0,0,0,TRUE,633.19942186756,1713872785.46574,7.43921449234031,0,-0.193721063804057,0,0,-0.386683783619313,-13.5539773688601,-0.450925420141752,NA,NA,0,NA,0,0,NA,NA,NA,1278.39884373512,1281.62961296589,174.361570574268,1.37361815367079e-38,1.34904254728392e-38
"18",18,"unconstrained","1:0","constant",1,0,2,3,0,4,5,6,0,0,0,0,0,0,0,0,TRUE,631.650533115119,1713872785.46574,9.04650969453814,0,-0.222360745800518,0.402195950734198,0,-0.21427518770267,-13.6658974122616,-0.137499611785942,NA,NA,0,NA,NA,0,NA,NA,NA,1277.30106623024,1281.78106623024,174.513023838616,1.27343963629303e-38,1.25065633863834e-38
"58",58,"unconstrained","1:0","constant",1,0,2,0,3,0,4,5,0,0,0,0,0,0,0,0,TRUE,633.310632628137,1713872785.46574,6.81528585301596,0,-0.241407453566493,0,0.376917712161237,0,-14.1797348484835,-0.940267965944202,NA,NA,0,NA,0,NA,0,NA,NA,1278.62126525627,1281.85203448704,174.583992095422,1.22904505040917e-38,1.20705602288367e-38
"3",3,"unconstrained","1:0","constant",1,0,2,3,4,5,6,7,0,0,0,0,0,0,0,0,TRUE,630.003787952793,1713872785.46574,10.2452371041738,0,-0.42108587396785,0.625931488619174,0.773514679188757,-0.116536185868394,-13.156045329973,-0.337361280027715,NA,NA,0,NA,NA,NA,NA,NA,NA,1276.00757590559,1282.00757590559,174.739533513964,1.13708364309721e-38,1.11673991076736e-38
"119",119,"unconstrained","1:0","constant",1,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,TRUE,634.960718101342,1713872785.46574,7.31849106217773,0,0.0268143502281336,0,0,0.43084401825687,-14.3165433717401,0,NA,NA,0,NA,0,0,NA,NA,0,1279.92143620268,1282.14365842491,174.875616033284,1.06228847233109e-38,1.04328291150944e-38
"185",185,"socialEffectsOnly","1:0","constant",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,TRUE,637.736208414187,1713872785.46574,6.57984260205781,0,0,0,0,0,-15.2601714023801,0,NA,NA,0,0,0,0,0,NA,0,1281.47241682837,1282.30000303527,175.03196064365,9.82409758756366e-39,9.64833319862271e-39
"164",164,"unconstrained","1:0","constant",1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,TRUE,638.004964515158,1713872785.46574,9.98697333430264,0,0,-0.125521358426183,0,0,-11.4837814335805,0,NA,NA,0,0,NA,0,0,NA,0,1284.00992903032,1285.43850045889,178.170458067265,2.04539227606373e-39,2.00879785908624e-39
"17",17,"unconstrained","1:0","constant",1,0,2,0,3,4,5,6,0,0,0,0,0,0,0,0,TRUE,634.143075571224,1713872785.46574,8.01317137445587,0,-0.27443044484237,0,0.278827181449345,0.446594567746967,-13.9087398908905,0.336362647359429,NA,NA,0,NA,0,NA,NA,NA,NA,1282.28615114245,1286.76615114245,179.498108750826,1.05312743987866e-39,1.03428578044914e-39
"107",107,"socialEffectsOnly","1:0","constant",1,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,TRUE,637.387583084632,1713872785.46574,10.4778491701874,0,0,0,0,0.48027400258385,-11.5517665709392,-1.3436573680566,NA,NA,0,0,0,0,NA,NA,NA,1284.77516616926,1286.99738839149,179.729345999865,9.38141608176876e-40,9.21357177339175e-40
"157",157,"socialEffectsOnly","1:0","constant",1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,TRUE,643.305703003023,1713872785.46574,6.60811602200111,0,0,0,0,0,-15.0980084307063,-2.26026996471907,NA,NA,0,0,0,0,0,NA,NA,1294.61140600605,1296.03997743462,188.771935042996,1.02022306162763e-41,1.00197009931612e-41
"143",143,"socialEffectsOnly","0:1","constant",0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,TRUE,645.736546383099,1713872785.46574,0,0.0312087216302114,0,0,0,-0.408590533058219,0,0.849780941095648,NA,0,NA,0,0,0,NA,0,NA,1299.4730927662,1300.90166419477,193.633621803148,8.97414887644991e-43,8.81359104612756e-43
"87",87,"socialEffectsOnly","0:1","constant",0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,0,TRUE,644.94777073607,1713872785.46574,0,0.0310604182785948,0,0,0,-0.463906690019959,0.0879348570666322,1.03724335989881,NA,0,NA,0,0,0,NA,NA,NA,1299.89554147214,1302.11776369436,194.84972130274,4.88563050796549e-43,4.79822096697001e-43
"38",38,"unconstrained","0:1","constant",0,1,0,2,0,3,4,5,0,0,0,0,0,0,0,0,TRUE,644.154301123761,1713872785.46574,0,0.030884394914172,0,0.0915139049773513,0,-0.475921686366456,0.0896566105362586,1.04863336737784,NA,0,NA,0,NA,0,NA,NA,NA,1300.30860224752,1303.53937147829,196.271329086671,2.40006172412505e-43,2.35712186337943e-43
"42",42,"unconstrained","0:1","constant",0,1,2,0,0,3,4,5,0,0,0,0,0,0,0,0,TRUE,644.161822411179,1713872785.46574,0,0.0310003918592305,-0.294500998380176,0,0,-0.477368778928691,0.0905960151262492,1.05479909737579,NA,0,NA,NA,0,0,NA,NA,NA,1300.32364482236,1303.55441405313,196.286371661505,2.3820778856658e-43,2.33945977644488e-43
"128",128,"socialEffectsOnly","1:2","constant",1,2,0,0,0,3,0,4,0,0,0,0,0,0,0,0,TRUE,645.717231275004,1713872785.46574,0.14578020757543,0.031208564729589,0,0,0,-0.408607240237463,0,0.849990563934996,NA,NA,NA,0,0,0,NA,0,NA,1301.43446255001,1303.65668477223,196.388642380609,2.2633314220327e-43,2.22283782342798e-43
"92",92,"unconstrained","0:1","constant",0,1,0,2,0,3,0,4,0,0,0,0,0,0,0,0,TRUE,645.738344893385,1713872785.46574,0,0.0312087216726505,0,-0.00569480970227272,0,-0.408785760569485,0,0.8515377662465,NA,0,NA,0,NA,0,NA,0,NA,1301.47668978677,1303.69891200899,196.43086961737,2.21604525378345e-43,2.17639765903746e-43
"48",48,"unconstrained","0:1","constant",0,1,2,3,0,4,5,0,0,0,0,0,0,0,0,0,TRUE,644.313267408205,1713872785.46574,0,0.0298644119520237,-0.397012541104751,0.131534429343384,0,-0.500935705495576,-0.227016851859842,0,NA,0,NA,NA,NA,0,NA,NA,0,1300.62653481641,1303.85730404718,196.589261655558,2.04731293711049e-43,2.01068415730097e-43
"37",37,"unconstrained","0:1","constant",0,1,0,0,2,3,4,5,0,0,0,0,0,0,0,0,TRUE,644.61232303658,1713872785.46574,0,0.0310403803459743,0,0,0.33100074766953,-0.46610061245988,0.0891344237716497,1.04350424600115,NA,0,NA,0,0,NA,NA,NA,NA,1301.22464607316,1304.45541530393,197.187372912307,1.51811971969121e-43,1.49095881432637e-43
"99",99,"unconstrained","0:1","constant",0,1,2,0,0,3,4,0,0,0,0,0,0,0,0,0,TRUE,646.130505635242,1713872785.46574,0,0.0303668899998053,-0.367544167214867,0,0,-0.440430957770134,-0.198677316197213,0,NA,0,NA,NA,0,0,NA,NA,0,1302.26101127048,1304.48323349271,197.215191101084,1.49715022065475e-43,1.47036448371141e-43
"122",122,"unconstrained","1:0","constant",1,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,TRUE,646.210665802153,1713872785.46574,18.1672348859007,0,0.23620811365197,0,0.520623185321214,-12.0299506972019,0,0,NA,NA,0,NA,0,NA,NA,0,0,1302.42133160431,1304.64355382653,197.375511434907,1.38182250171542e-43,1.35710011011924e-43
