"","A01w","A05w","A22w","A29w","A31w","A32w","A39w","A56w","A73w","A75w","A78w","E00w","E01w","E06w","E11w","E17w","E37w","E38w","E51w","E79w","J00w","J06w","J12w","J16w","J17w","J34w","J35w","J39w","T13b","T13w","T15w","T90b","Y26b"
"A01w",0,0.00414777776511917,0.00436551193361438,0.0194488695002253,0.0191519139677204,0.00616634420340922,0.00675494727891061,0.00676162401374102,0.00580848637866505,0.00412791523475662,0.0194432672608843,0.00616684740083022,0.00675640464697223,0.00675975821760162,0.00414741348922272,0.00616795912328328,0.0192675878705255,0.018844216121741,0.00577346747201607,0.0057946587988332,0.00675658344819743,0.0191034939991493,0.0041313939496332,0.00581327710321599,0.0189251716980786,0.00580104247962292,0.00578820173490767,0.00845438914658899,0.0075596156351043,0.00413029496506122,0.00680573440168456,0.00414746637687921,0.0192282671353252
"A05w",0.00414777776511917,0,0.00989332688683918,0.00408710020269755,0.00408729477962534,0.00368582398143526,0.0040179546896717,0.00401989026289314,0.00361876372335645,0.0394539231320635,0.00408706670706529,0.00368733851269584,0.00401670274596712,0.00401706208045467,0.155730034575863,0.00368600793183943,0.00408642940507053,0.00408632811654881,0.00361435189790854,0.00361481761264736,0.00401848854820408,0.00408631130409822,0.042633529923674,0.00362085667826103,0.00408630513467532,0.0036158886792261,0.00361546424470118,0.00399108496298495,0.00408469187562394,0.041375436086147,0.00478015138587617,0.248520919939843,0.00408804587042234
"A22w",0.00436551193361438,0.00989332688683918,0,0.00430756553019751,0.00430845938752793,0.00375535070083554,0.00409179684087673,0.00409394934853499,0.00367858292825415,0.00961708160143505,0.00430753352227399,0.00375674283554261,0.00409062846408764,0.00409110952407413,0.00987507460444528,0.00375558711246456,0.00430707640308993,0.00430788217864515,0.00367291307904125,0.0036743838904217,0.0040923825161236,0.00430728160695052,0.00965008516233791,0.00368068451513615,0.00430767021138528,0.00367565407087301,0.00367463848632362,0.00425294416309141,0.00438890353747733,0.00963628967228238,0.0049097113807228,0.00989593679008702,0.00430927355166002
"A29w",0.0194488695002253,0.00408710020269755,0.00430756553019751,0,0.0932193417700857,0.00603369614236784,0.00645355979027979,0.0064589160686659,0.00570215018283583,0.0040677496121583,0.809872256839695,0.00603338280426049,0.00645525011101497,0.00645813155175485,0.00408670587456883,0.0060352355118926,0.137003446887411,0.0690545136749674,0.00566827445911034,0.00568978111063432,0.00645485424228365,0.0949867755896661,0.00407109273365732,0.00570609888206451,0.074934972083998,0.00569583778467727,0.00568286752745433,0.00924518669433799,0.00799090676285576,0.00407002570648865,0.0064286303824536,0.00408681816098025,0.0958567172396576
"A31w",0.0191519139677204,0.00408729477962534,0.00430845938752793,0.0932193417700857,0,0.00602159830036486,0.00643835309806088,0.0064436768515866,0.00569201858073354,0.00406792252607851,0.0936726802103089,0.0060212765556506,0.00644002697530542,0.00644288861340631,0.00408689780218102,0.00602312869558084,0.119370439925763,0.101163792727253,0.00565831309338171,0.00567972601127544,0.00643963990648049,0.183942766322082,0.00407126678686005,0.00569593776348862,0.121201490435238,0.00568575051706953,0.0056728377923968,0.00928998203498072,0.00802034230129139,0.00407019877547685,0.00641963444769789,0.00408701361061344,0.204024724744775
"A32w",0.00616634420340922,0.00368582398143526,0.00375535070083554,0.00603369614236784,0.00602159830036486,0,0.00916481686767733,0.00914448103227324,0.017207569334862,0.0036750847498115,0.00603361047654697,0.111076250502336,0.00918140260128416,0.00917879764980616,0.00368590264668108,0.265662780823991,0.00602926896961708,0.006012958573564,0.0163921028526957,0.0168288974323135,0.00915907776612668,0.00602329966177182,0.0036772947523719,0.0173583956375441,0.00601627094448904,0.0169834735629159,0.0167112455218723,0.00511783287619985,0.0048272863064493,0.00367667391800051,0.00578831840515713,0.00368550756034574,0.00602181314898543
"A39w",0.00675494727891061,0.0040179546896717,0.00409179684087673,0.00645355979027979,0.00643835309806088,0.00916481686767733,0,0.124651762326879,0.0083237221793852,0.00400458944406765,0.00645338913421982,0.00919158914505042,0.148005597415835,0.139486960248119,0.00401810336377503,0.00916674177317677,0.00644665987102542,0.00642556084542055,0.00827323687377427,0.0082763663764427,0.240597574051786,0.00643878460563362,0.00400739832571025,0.00834953349622252,0.00642976240396851,0.00828871663653424,0.00828535480500394,0.00529241881972354,0.0050379303654014,0.00400662091812803,0.00739193500096878,0.00401753351373873,0.00643996710308755
"A56w",0.00676162401374102,0.00401989026289314,0.00409394934853499,0.0064589160686659,0.0064436768515866,0.00914448103227324,0.124651762326879,0,0.00830692363272312,0.00400649954683877,0.00645874474813611,0.00917102516113307,0.100883810022774,0.105850014983281,0.00402003863129343,0.00914640866935439,0.00645199505023889,0.00643084808642452,0.00825657106867107,0.00825983473214974,0.145629911662181,0.00644410118334198,0.00400931306819963,0.00833256752247131,0.00643505880677547,0.00827213668375776,0.00826870385358634,0.00529531679716006,0.00504077244530324,0.00400853423596632,0.00740442674757204,0.00401946860072101,0.00644530068768063
"A73w",0.00580848637866505,0.00361876372335645,0.00367858292825415,0.00570215018283583,0.00569201858073354,0.017207569334862,0.0083237221793852,0.00830692363272312,0,0.00360889447547533,0.00570208114045627,0.0171620450122638,0.00833520016486356,0.00833224466514881,0.00361886356801386,0.0171743358422143,0.00569850030901714,0.00568486252813094,0.0513653906509496,0.0769035147864816,0.00831905855455586,0.00569351700382204,0.00361095849613545,0.104615348076323,0.00568763662523628,0.0901342679633843,0.0691541975016365,0.00491936771396287,0.00465590658454672,0.00361038532868194,0.00553429794439967,0.003618458110936,0.0056921411517535
"A75w",0.00412791523475662,0.0394539231320635,0.00961708160143505,0.0040677496121583,0.00406792252607851,0.0036750847498115,0.00400458944406765,0.00400649954683877,0.00360889447547533,0,0.00406771639813007,0.00367659471005307,0.00400334381942795,0.00400369473916572,0.0403348721520429,0.00367526515191255,0.00406708015475809,0.00406695423058308,0.00360456792616702,0.00360498472540867,0.00400511664230167,0.00406695405398899,0.100077427472977,0.00361097385137668,0.00406693679955173,0.00360603997151944,0.00360564521806067,0.00397167280076258,0.00406347328006235,0.121619716948311,0.00475660042798369,0.0394758688813411,0.00406866456561783
"A78w",0.0194432672608843,0.00408706670706529,0.00430753352227399,0.809872256839695,0.0936726802103089,0.00603361047654697,0.00645338913421982,0.00645874474813611,0.00570208114045627,0.00406771639813007,0,0.00603329672799382,0.00645507952855112,0.00645796071557143,0.00408667236231089,0.00603514979156369,0.138898944729779,0.0692633612426921,0.00566820629654691,0.00568971292757244,0.00645468341576685,0.0955675087129444,0.00407105944493352,0.00570602937127888,0.0752061855082792,0.00569576938074591,0.00568279916780677,0.00924570309739641,0.00799117048100744,0.00406999243534854,0.00642843159414326,0.00408678468154481,0.0962424066830486
"E00w",0.00616684740083022,0.00368733851269584,0.00375674283554261,0.00603338280426049,0.0060212765556506,0.111076250502336,0.00919158914505042,0.00917102516113307,0.0171620450122638,0.00367659471005307,0.00603329672799382,0,0.00920829942890275,0.00920564227611569,0.00368741803093166,0.108601562795219,0.0060289451097141,0.00601262005844842,0.0163606646896773,0.0167826047772246,0.00918578771128376,0.00602296957667393,0.00367880662107315,0.017315926924014,0.00601593493650618,0.0169350549692891,0.0166721702256359,0.00511685923531288,0.00482678550485077,0.00367818544497783,0.00579414447598324,0.00368702151546101,0.00602149904513854
"E01w",0.00675640464697223,0.00401670274596712,0.00409062846408764,0.00645525011101497,0.00644002697530542,0.00918140260128416,0.148005597415835,0.100883810022774,0.00833520016486356,0.00400334381942795,0.00645507952855112,0.00920829942890275,0,0.212924512333475,0.00401685075969516,0.00918334461973453,0.00644834819486454,0.00642722897994232,0.00828435617912965,0.00828763433486219,0.130980486440753,0.00644046595996418,0.00400615067788507,0.00836110943020651,0.00643143485968488,0.0083000569323814,0.00829660272368194,0.00529340027337328,0.00503846729633273,0.0040053736942284,0.00738465780699594,0.00401628208662345,0.00644163718585396
"E06w",0.00675975821760162,0.00401706208045467,0.00409110952407413,0.00645813155175485,0.00644288861340631,0.00917879764980616,0.139486960248119,0.105850014983281,0.00833224466514881,0.00400369473916572,0.00645796071557143,0.00920564227611569,0.212924512333475,0,0.00401720972512614,0.00918074709103233,0.00645121998284525,0.00643007307175282,0.00828132685261103,0.00828471624320422,0.131056504340306,0.00644332731930166,0.00400650281294159,0.00835811816468143,0.00643428441503569,0.00829714455398527,0.00829362648505982,0.00529498246787604,0.00503986284943374,0.00400572538427869,0.00738724892312882,0.00401664140464128,0.00644450158124796
"E11w",0.00414741348922272,0.155730034575863,0.00987507460444528,0.00408670587456883,0.00408689780218102,0.00368590264668108,0.00401810336377503,0.00402003863129343,0.00361886356801386,0.0403348721520429,0.00408667236231089,0.00368741803093166,0.00401685075969516,0.00401720972512614,0,0.00368608643936188,0.00408603415482393,0.00408592931410178,0.00361445555685752,0.00361491748178669,0.00401863716869078,0.00408591476129402,0.0438282573450313,0.00362095699787317,0.00408590705812198,0.00361598803492535,0.00361556579301736,0.00399049262572118,0.00408396227073839,0.0424571401902593,0.00478031029998483,0.136575296094106,0.00408764889209935
"E17w",0.00616795912328328,0.00368600793183943,0.00375558711246456,0.0060352355118926,0.00602312869558084,0.265662780823991,0.00916674177317677,0.00914640866935439,0.0171743358422143,0.00367526515191255,0.00603514979156369,0.108601562795219,0.00918334461973453,0.00918074709103233,0.00368608643936188,0,0.00603080524432409,0.00601448285732254,0.0163628642962694,0.0167980756875869,0.00916100278220282,0.0060248315631188,0.0036774756653252,0.0173239934481179,0.00601779767048708,0.0169518548773454,0.0166806310518422,0.00511878278965353,0.00482808123469136,0.00367685464332402,0.00578904017363239,0.00368569150506834,0.00602334350857455
"E37w",0.0192675878705255,0.00408642940507053,0.00430707640308993,0.137003446887411,0.119370439925763,0.00602926896961708,0.00644665987102542,0.00645199505023889,0.00569850030901714,0.00406708015475809,0.138898944729779,0.0060289451097141,0.00644834819486454,0.00645121998284525,0.00408603415482393,0.00603080524432409,0,0.0793004854922472,0.0056646800070065,0.00568616598810719,0.00644794906177978,0.130201999433064,0.00407042193215071,0.00570243269620187,0.0886975355122962,0.00569221103042597,0.00567925413339507,0.00926579918047399,0.00800282977722722,0.00406935506773348,0.00642247479682992,0.00408614789509879,0.116920539789488
