"","A01w","A05w","A22w","A29w","A31w","A32w","A39w","A56w","A73w","A75w","A78w","E00w","E01w","E06w","E11w","E17w","E37w","E38w","E51w","E79w","J00w","J06w","J12w","J16w","J17w","J34w","J35w","J39w","T13b","T13w","T15w","T90b","Y26b"
"A01w",0,0.00409540108960174,0.00632770078930414,0.00625472269605947,0.00411701407142259,0.00606429114855898,0.00650721746155765,0.00653650520944801,0.00570978523530222,0.00407756772548401,0.00409195393794482,0.00570328093597878,0.00408442857462619,0.00409798040389599,0.00409357973705449,0.00726237467024466,0.00627826586738414,0.00409610590718636,0.0505956620143487,0.00572145237816414,0.00651795479159588,0.00409355317349047,0.0040775475766186,0.00626504421738153,0.00410492651897045,0.00649967190860716,0.00569450383466277,0.00650475865038134,0.00791176971952541,0.0513784269337157,0.0040921648134824,0.00571849581519647,0.00407654477971651
"A05w",0.00409540108960174,0,0.00380619470002564,0.00375883795284496,0.033815591083764,0.00368754983349604,0.00402193007907927,0.00402790919047087,0.00361808468698801,0.0412512363510971,0.0948248518893111,0.00361496466368527,0.044786551054026,0.0254840263871786,0.132721256417566,0.00380494517202388,0.00383293932877839,0.12728149253471,0.00408865599329009,0.00361857316056671,0.00402588561940945,0.131744301601142,0.041830003938941,0.00469858294001163,0.0599516435186592,0.0040192951639822,0.00361405437623354,0.00402148029503532,0.00408620909317226,0.00408919261348996,0.100727635506766,0.00361717047188388,0.0401017928751178
"A22w",0.00632770078930414,0.00380619470002564,0,0.0234910798456959,0.0038284973982653,0.0148264617704306,0.0116081129611036,0.0115012581299413,0.0115394501943757,0.00379538474727668,0.0038031420712865,0.0114450244255543,0.0038016640778979,0.00382339021749026,0.00380463049332156,0.011702769443912,0.0265972538709228,0.00380615425431948,0.00629076990510753,0.0115760451553172,0.011525788803555,0.00380460722431707,0.00379499356628,0.00647296711888779,0.00381365220647042,0.0116631540046464,0.0114037926839724,0.011615699259542,0.00494354257125784,0.00629098675062594,0.00380348664983383,0.0115326404415601,0.00379476735045157
"A29w",0.00625472269605947,0.00375883795284496,0.0234910798456959,0,0.00378025025257713,0.0190190433103845,0.0104074289885153,0.0103313468234668,0.0129594433987642,0.00374834956605424,0.00375589942047897,0.0128348992863533,0.00375439174770565,0.00377515024275958,0.00375733142657862,0.0118417798663337,0.0179435546713419,0.00375881002417776,0.00622121894202128,0.0130329812245765,0.0103483182590531,0.00375730902305336,0.00374797898822444,0.00624366030164749,0.00376603217323026,0.0104468383832217,0.0127653358995042,0.0104128243074754,0.00491305234655562,0.00622129623265067,0.00375622851781986,0.0129749639112038,0.00374775044846483
"A31w",0.00411701407142259,0.033815591083764,0.0038284973982653,0.00378025025257713,0,0.00370774952172317,0.00404857411595152,0.00405464320115664,0.00363739414442043,0.0288846843569272,0.0319362283810347,0.00363422095708024,0.032046339005216,0.030574060641404,0.0328458395743804,0.00382606056532097,0.00385586759848919,0.0332952949333146,0.00411004109022723,0.00363787436760078,0.00405260071782767,0.0328316704640367,0.0287372839237696,0.00474152024144927,0.0384724078856144,0.00404589240833952,0.00363330592034477,0.00404811790921461,0.00410126589231615,0.00411058782525812,0.0322220448285572,0.00363644779461214,0.0285933988565372
"A32w",0.00606429114855898,0.00368754983349604,0.0148264617704306,0.0190190433103845,0.00370774952172317,0,0.00914521314322054,0.00909024997318014,0.0167791750687074,0.00367763285852673,0.00368477553244226,0.0165670910582259,0.00368333800436167,0.00370291513798287,0.00368612739035451,0.0109918949470983,0.0132305517296338,0.00368752547159421,0.00603641643868441,0.0170311728191903,0.00910383264979205,0.00368610623814371,0.00367728381349109,0.00593262372644694,0.00369434388664617,0.0091728257498388,0.0163764509185562,0.00914917296868012,0.00482839063629546,0.00603633487044068,0.0036850857783128,0.016927810131607,0.00367706635093978
"A39w",0.00650721746155765,0.00402193007907927,0.0116081129611036,0.0104074289885153,0.00404857411595152,0.00914521314322054,0,0.0635228669235182,0.00828218477428917,0.00400956166671223,0.0040183223843507,0.00824474075702806,0.00401699465231493,0.00404344136174669,0.00402008530874426,0.00940292119480644,0.0126039464158727,0.00402182782642219,0.00645859656199484,0.00828659708773217,0.0878101693165389,0.00402005782962356,0.00400906995797381,0.00777263377802682,0.00403066765630555,0.106834518690132,0.00823469423328589,0.223233820645358,0.00504051794273569,0.00645946516391569,0.00401874247630981,0.00826966930617832,0.0040088556524875
"A56w",0.00653650520944801,0.00402790919047087,0.0115012581299413,0.0103313468234668,0.00405464320115664,0.00909024997318014,0.0635228669235182,0,0.00823193234971849,0.00401544668079279,0.00402428592938879,0.00819524500394295,0.00402290990541306,0.00404938987476291,0.00402605605899237,0.00941298380049686,0.0124436155467197,0.00402781191672544,0.00648711121776631,0.00823676910822257,0.0857632787940764,0.00402602845923407,0.00401495594348844,0.00781382038326769,0.00403669257832748,0.0549196287801655,0.00818507611583029,0.0611032272906107,0.0050547936179859,0.00648800265506546,0.00402470654408589,0.00822017973411947,0.00401473526118368
"A73w",0.00570978523530222,0.00361808468698801,0.0115394501943757,0.0129594433987642,0.00363739414442043,0.0167791750687074,0.00828218477428917,0.00823193234971849,0,0.00360900805099899,0.0036154586248657,0.0860603768878251,0.00361442183708775,0.0036335629906011,0.00361674130251331,0.00923803416180397,0.0109550995787043,0.00361802040384745,0.00568719185907521,0.0805809870377136,0.00824836135377704,0.00361672129630394,0.00360865411582276,0.00566773914581324,0.00362445414875647,0.00830494033344118,0.0740030089330682,0.0082859619262582,0.00464736377612424,0.00568708547079051,0.00361576210885087,0.0767366479529069,0.00360848983647136
"A75w",0.00407756772548401,0.0412512363510971,0.00379538474727668,0.00374834956605424,0.0288846843569272,0.00367763285852673,0.00400956166671223,0.00401544668079279,0.00360900805099899,0,0.0435293311629064,0.00360590757598716,0.0656782833148188,0.0266382032489198,0.0425856546061893,0.0037929519656634,0.00382208508681885,0.0397135775687044,0.00407085958889473,0.00360947204947452,0.00401347007330219,0.0426041535069596,0.160178643578905,0.00467928951724461,0.0346449941412442,0.00400695872518171,0.00360501691441822,0.00400911940438791,0.00406673359663187,0.00407138992343275,0.0437894332732695,0.00360807821131511,0.171058914870023
