"","A01w","A05w","A22w","A29w","A31w","A32w","A39w","A56w","A73w","A75w","A78w","E00w","E01w","E06w","E11w","E17w","E37w","E38w","E51w","E79w","J00w","J06w","J12w","J16w","J17w","J34w","J35w","J39w","T13b","T13w","T15w","T90b","Y26b"
"A01w",0,0.0201325633021031,0.0197238404000786,0.00640842723375274,0.00413731647357646,0.00617517981773503,0.00581238080405832,0.00582566060718065,0.0201667954666462,0.00411971781201811,0.0201219989556357,0.00582188329503842,0.00582296297921277,0.00618854285119481,0.0195827662446385,0.00619052570067712,0.0197330652394038,0.0201415489102475,0.00580264855776358,0.00581219851095374,0.00581512119534061,0.0197761725682167,0.0205857013688438,0.00583023069922734,0.00415739538518395,0.00581597015242004,0.00581253446532725,0.0194926896274423,0.00755098114762475,0.00565936525203538,0.0202213572941238,0.0199717397180952,0.00411995113090704
"A05w",0.0201325633021031,0,0.0964647544359282,0.00622050976718397,0.00408786374142775,0.00602513470186179,0.00569189813607236,0.00570429050599345,0.339452998717621,0.00407060810356151,0.31103013823535,0.00570070733158966,0.00570082666958167,0.00603844396673998,0.0813219917201126,0.00604015962499759,0.0986119738171615,0.253778912836451,0.00568139911156829,0.00569177568107212,0.00569434415385661,0.0984413262757034,0.0957226724864428,0.00570848562101002,0.00410540345676666,0.00569506955583461,0.00569101285743527,0.0750196393814787,0.0079903684878837,0.00546015018796439,0.21400724596109,0.152875405621205,0.00407075583239488
"A22w",0.0197238404000786,0.0964647544359282,0,0.00620983422690426,0.00408661529789644,0.00601602251073463,0.00568440611675971,0.005696746008242,0.0932739584108767,0.00406936215149001,0.0960899120291007,0.00569317612664706,0.0056932661669441,0.0060292983957778,0.147828190996023,0.00603100210893906,0.312392250372052,0.0933276063531733,0.00567390549972297,0.00568428572843819,0.00568683817174451,0.196955478416135,0.0679996214857667,0.00570092107457066,0.00410404777379446,0.00568755833406439,0.00568349121623781,0.11787790638414,0.0080148771398519,0.00545143512854319,0.0880084120776166,0.124081320651212,0.00406950590785685
"A29w",0.00640842723375274,0.00622050976718397,0.00620983422690426,0,0.00375746801618818,0.01879570059722,0.0129299034637318,0.0130663478338153,0.00622093673953973,0.00374708489830561,0.0062212433872635,0.0130316368169902,0.0131088274258265,0.0187800852601657,0.00620451895370313,0.0188519188555068,0.00621093155067633,0.00622210976056574,0.0129302201584719,0.0129245853150094,0.0129659968861677,0.00620889551194436,0.00623049570120037,0.0131192145570674,0.00378521292208147,0.0129795937934968,0.0130055614967527,0.00620164315299851,0.00491298662995679,0.00752009676037841,0.00622244657850273,0.00621601697447383,0.00374782374558447
"A31w",0.00413731647357646,0.00408786374142775,0.00408661529789644,0.00375746801618818,0,0.00368456663605952,0.00361499999814031,0.00361744737107351,0.00408809570457998,0.0422618563138934,0.00408753588151087,0.00361689830840298,0.00361930713184306,0.00368459011909928,0.00408662528576356,0.00368513404606395,0.00408638710632995,0.00408748546190286,0.00361676361081172,0.00361484754026454,0.00361578395600814,0.00408749358164801,0.00408950900645877,0.00361845537882443,0.0246697491240456,0.00361610706520597,0.00361760348833839,0.00408645892426629,0.0040848214300583,0.00410180942599067,0.00408821563473346,0.00408749011839325,0.0412479919907923
"A32w",0.00617517981773503,0.00602513470186179,0.00601602251073463,0.01879570059722,0.00368456663605952,0,0.0170614265838168,0.0174040302688911,0.00602544795732628,0.00367477211513009,0.00602587629124387,0.0173088896967026,0.0173938048137635,0.0796970661714722,0.0060113061619801,0.0787821896415559,0.00601705893360923,0.00602665779254019,0.0168975588404492,0.0170536357619372,0.017138192317517,0.00601494622185856,0.00603351322708158,0.0175312429949151,0.00371071605262798,0.0171642753825478,0.0171268535376702,0.00600880119039897,0.00482304228841294,0.00710160326102118,0.00602675148936278,0.00602125892274355,0.00367546879382793
"A39w",0.00581238080405832,0.00569189813607236,0.00568440611675971,0.0129299034637318,0.00361499999814031,0.0170614265838168,0,0.0860726376473723,0.00569213924768915,0.00360598819877531,0.00569254486740539,0.101235940088618,0.0733554482782626,0.0168374097413431,0.00568046957304132,0.0167928646162566,0.00568529062628653,0.00569320081229836,0.0648704539177195,0.360088368086274,0.172528241369005,0.00568343210979189,0.00569873970547696,0.0741104511459638,0.00364047233527942,0.145926991358476,0.0791181762855711,0.0056783931179949,0.00465094472954522,0.00688412418949449,0.00569321566479697,0.00568869844443635,0.00360668333611611
"A56w",0.00582566060718065,0.00570429050599345,0.005696746008242,0.0130663478338153,0.00361744737107351,0.0174040302688911,0.0860726376473723,0,0.00570453360721376,0.00360840642935778,0.00570494109275015,0.160362952986435,0.0825464708708413,0.01716779700977,0.00569278299080865,0.0171204875747657,0.00569763611479841,0.00570560138958246,0.0564877257371525,0.0853042171721499,0.0964339816449884,0.0056957668236886,0.00571118087673511,0.144423186564886,0.00364293702850465,0.099608659416295,0.0702976172807285,0.00569069231590131,0.00465760895269393,0.00689127855100659,0.00570561748133788,0.00570106863756313,0.00360910132496666
"A73w",0.0201667954666462,0.339452998717621,0.0932739584108767,0.00622093673953973,0.00408809570457998,0.00602544795732628,0.00569213924768915,0.00570453360721376,0,0.00407083785097223,0.246435325541386,0.00570095008263003,0.00570107286369281,0.00603875600598051,0.0795133516134673,0.00604047243504305,0.0950618800627284,0.231323163864291,0.00568164400067237,0.00569201658931771,0.00569458608734494,0.0955861745262538,0.0993286112961031,0.00570872966271909,0.00410564323904946,0.00569531186342644,0.00569125779335129,0.073604223885782,0.00798921768165809,0.00546073241379273,0.264577768241136,0.141398414932105,0.00407098580946005
"A75w",0.00411971781201811,0.00407060810356151,0.00406936215149001,0.00374708489830561,0.0422618563138934,0.00367477211513009,0.00360598819877531,0.00360840642935778,0.00407083785097223,0,0.00407028488434794,0.00360786538276974,0.00361026780401126,0.00367477435002681,0.0040693660282094,0.00367531365231179,0.00406913785570007,0.00407023602812217,0.0036077668804074,0.0036058363535826,0.00360676563683567,0.00407022914060417,0.00407224553227415,0.00360940412012268,0.0244025569651812,0.00360708658151352,0.00360858671687192,0.00406919836318862,0.00406614791251673,0.00409141352271002,0.00407095809135617,0.00407023375731886,0.121029561803505
