local_identifier,tag_id,timestamp,dateOnly,ground_speed,individual_id,tag_local_identifier,location_long,location_lat,geometry,period,dist_to_carcass
A00w,1264172250,2024-05-01T10:08:32Z,2024-05-01,0.555555555555556,1265763523,202381,35.4272918701172,30.4625434875488,"c(733047.533333254, 3372544.31840244)",2024-05-01 09:56:00,73619.60755099074
A00w,1264172250,2024-05-01T10:23:08Z,2024-05-01,0,1265763523,202381,35.427848815918,30.4625492095947,"c(733101.008471098, 3372546.10241336)",2024-05-01 10:16:00,73661.91333376034
A00w,1264172250,2024-05-01T10:38:32Z,2024-05-01,0.277777777777778,1265763523,202381,35.4282875061035,30.4623756408691,"c(733143.553749617, 3372527.76549994)",2024-05-01 10:36:00,73707.14264331752
A00w,1264172250,2024-05-01T10:53:32Z,2024-05-01,8.33333333333333,1265763523,202381,35.4279098510742,30.4619140625,"c(733108.383895377, 3372475.81306611)",2024-05-01 10:36:00,73709.05470760769
A00w,1264172250,2024-05-01T11:08:31Z,2024-05-01,0.277777777777778,1265763523,202381,35.4279518127441,30.4624557495117,"c(733111.122964812, 3372535.95362815)",2024-05-01 10:56:00,73676.05454667407
A00w,1264172250,2024-05-01T11:23:31Z,2024-05-01,0,1265763523,202381,35.4278831481934,30.4625682830811,"c(733104.26026984, 3372548.28786531)",2024-05-01 11:16:00,73663.27074835193
A00w,1264172250,2024-05-01T11:38:32Z,2024-05-01,0,1265763523,202381,35.4285507202148,30.462574005127,"c(733168.359884947, 3372550.30059768)",2024-05-01 11:36:00,73714.0765447508
A00w,1264172250,2024-05-01T11:52:35Z,2024-05-01,11.1111111111111,1265763523,202381,35.444206237793,30.4643497467041,"c(734667.651223341, 3372779.60211759)",2024-05-01 11:36:00,74803.6441332598
A00w,1264172250,2024-05-01T12:08:32Z,2024-05-01,0,1265763523,202381,35.4452171325684,30.461109161377,"c(734772.513851415, 3372422.43503771)",2024-05-01 11:56:00,75094.68012612009
A00w,1264172250,2024-05-01T12:23:10Z,2024-05-01,10.8333333333333,1265763523,202381,35.4421806335449,30.4616374969482,"c(734479.617654759, 3372474.69961858)",2024-05-01 12:16:00,74825.22466208927
A00w,1264172250,2024-05-01T12:37:33Z,2024-05-01,2.22222222222222,1265763523,202381,35.4426002502441,30.4692325592041,"c(734501.706470979, 3373317.59970455)",2024-05-01 12:36:00,74360.05740796222
A00w,1264172250,2024-05-01T12:53:32Z,2024-05-01,0.277777777777778,1265763523,202381,35.4445724487305,30.4623107910156,"c(734707.714170723, 3372554.31384139)",2024-05-01 12:36:00,74965.7969109801
A00w,1264172250,2024-05-01T13:07:49Z,2024-05-01,0.555555555555556,1265763523,202381,35.4442100524902,30.4627151489258,"c(734671.939405593, 3372598.38985734)",2024-05-01 12:56:00,74911.18476575089
A00w,1264172250,2024-05-01T13:22:34Z,2024-05-01,18.8888888888889,1265763523,202381,35.4451751708984,30.4707164764404,"c(734745.422585273, 3373487.46644548)",2024-05-01 13:16:00,74464.18442587335
A00w,1264172250,2024-05-01T13:37:35Z,2024-05-01,11.6666666666667,1265763523,202381,35.4281425476074,30.4604625701904,"c(733134.191417612, 3372315.37432083)",2024-05-01 13:36:00,73824.06076087756
A00w,1264172250,2024-05-01T14:07:50Z,2024-05-01,0,1265763523,202381,35.4455223083496,30.4609966278076,"c(734802.093511302, 3372410.59351633)",2024-05-01 13:56:00,75125.68278603253
A00w,1264172250,2024-05-01T14:23:32Z,2024-05-01,0,1265763523,202381,35.4451141357422,30.4626216888428,"c(734758.991771586, 3372589.90774109)",2024-05-01 14:16:00,74987.30327190546
A00w,1264172250,2024-05-01T14:37:40Z,2024-05-01,19.4444444444444,1265763523,202381,35.440803527832,30.4673938751221,"c(734333.567106546, 3373110.02266991)",2024-05-01 14:36:00,74340.52816506215
A00w,1264172250,2024-05-01T14:50:42Z,2024-05-01,0,1265763523,202381,35.4272994995117,30.4610919952393,"c(733051.724242455, 3372383.41502733)",2024-05-01 14:36:00,73717.35540480875
A00w,1264172250,2024-05-02T04:42:28Z,2024-05-02,0.277777777777778,1265763523,202381,35.4279174804688,30.4608020782471,"c(733111.766569758, 3372352.54910103)",2024-05-02 04:36:00,73784.08264996405
A00w,1264172250,2024-05-02T04:56:53Z,2024-05-02,0.277777777777778,1265763523,202381,35.4279747009277,30.4608020782471,"c(733117.262090495, 3372352.66722888)",2024-05-02 04:56:00,73788.46254250246
A00w,1264172250,2024-05-02T05:17:13Z,2024-05-02,0.277777777777778,1265763523,202381,35.428165435791,30.4608707427979,"c(733135.416846535, 3372360.6734783)",2024-05-02 05:16:00,73798.46378315841
A00w,1264172250,2024-05-02T05:36:53Z,2024-05-02,0,1265763523,202381,35.4278869628906,30.4625778198242,"c(733104.603903897, 3372549.35302816)",2024-05-02 05:36:00,73662.92595157326
A00w,1264172250,2024-05-02T05:57:20Z,2024-05-02,0.277777777777778,1265763523,202381,35.4284210205078,30.4597473144531,"c(733162.641183186, 3372236.65272558)",2024-05-02 05:56:00,73893.32783238491
A00w,1264172250,2024-05-02T06:17:48Z,2024-05-02,0.277777777777778,1265763523,202381,35.4260635375977,30.4618816375732,"c(732931.14105352, 3372468.40812584)",2024-05-02 06:16:00,73569.84215065173
A00w,1264172250,2024-05-02T06:37:48Z,2024-05-02,0,1265763523,202381,35.4279136657715,30.4640674591064,"c(733103.618302821, 3372714.55649421)",2024-05-02 06:36:00,73565.55744094632
A00w,1264172250,2024-05-02T06:56:54Z,2024-05-02,0,1265763523,202381,35.4277381896973,30.4627532958984,"c(733089.897651759, 3372568.49999291)",2024-05-02 06:56:00,73639.79565337913
A00w,1264172250,2024-05-02T07:16:57Z,2024-05-02,17.2222222222222,1265763523,202381,35.4160308837891,30.4693012237549,"c(731950.009200029, 3373270.32145446)",2024-05-02 07:16:00,72304.83355107819
A00w,1264172250,2024-05-02T07:31:56Z,2024-05-02,9.72222222222222,1265763523,202381,35.4275398254395,30.4708156585693,"c(733051.633534951, 3373461.9218103)",2024-05-02 07:16:00,73089.30607658211
A00w,1264172250,2024-05-02T07:46:51Z,2024-05-02,11.1111111111111,1265763523,202381,35.4382858276367,30.4598274230957,"c(734109.889337227, 3372265.94424638)",2024-05-02 07:36:00,74644.77762241777
A00w,1264172250,2024-05-02T08:02:48Z,2024-05-02,14.1666666666667,1265763523,202381,35.4447364807129,30.4614124298096,"c(734725.623609159, 3372455.05772836)",2024-05-02 07:56:00,75037.55896551501
A00w,1264172250,2024-05-02T08:17:48Z,2024-05-02,0.277777777777778,1265763523,202381,35.4451293945313,30.4612998962402,"c(734763.629596756, 3372443.39849992)",2024-05-02 08:16:00,75075.3464824081
A00w,1264172250,2024-05-02T08:32:48Z,2024-05-02,0.277777777777778,1265763523,202381,35.4451675415039,30.4613037109375,"c(734767.284126022, 3372443.90072937)",2024-05-02 08:16:00,75078.04561836082
A00w,1264172250,2024-05-02T08:46:51Z,2024-05-02,25.8333333333333,1265763523,202381,35.4268569946289,30.4668216705322,"c(732995.576337261, 3373017.72008583)",2024-05-02 08:36:00,73301.07812491729
A00w,1264172250,2024-05-02T09:01:49Z,2024-05-02,9.44444444444444,1265763523,202381,35.4274482727051,30.4623985290527,"c(733062.899544414, 3372528.57045078)",2024-05-02 08:56:00,73641.28593140279
A00w,1264172250,2024-05-02T09:17:35Z,2024-05-02,0,1265763523,202381,35.4278068542481,30.4612064361572,"c(733100.178333841, 3372397.14971212)",2024-05-02 09:16:00,73748.526733302715
A00w,1264172250,2024-05-02T09:31:52Z,2024-05-02,0,1265763523,202381,35.4278526306152,30.4612007141113,"c(733104.5883677, 3372396.60983817)",2024-05-02 09:16:00,73752.41486807543
A00w,1264172250,2024-05-02T09:46:49Z,2024-05-02,5.83333333333333,1265763523,202381,35.4388389587402,30.4648513793945,"c(734150.986632353, 3372824.07242951)",2024-05-02 09:36:00,74355.26876885015
A00w,1264172250,2024-05-02T10:01:49Z,2024-05-02,17.7777777777778,1265763523,202381,35.4892883300781,30.4631671905518,"c(739000.182561982, 3372743.06153956)",2024-05-02 09:56:00,78412.90634408676
A00w,1264172250,2024-05-02T10:16:51Z,2024-05-02,8.61111111111111,1265763523,202381,35.5011177062988,30.4465389251709,"c(740177.106283132, 3370924.62715883)",2024-05-02 10:16:00,80397.99440063768
A00w,1264172250,2024-05-02T10:32:48Z,2024-05-02,0,1265763523,202381,35.4278030395508,30.462589263916,"c(733096.516681798, 3372550.4485203)",2024-05-02 10:16:00,73655.72750915922
A00w,1264172250,2024-05-02T10:46:56Z,2024-05-02,0,1265763523,202381,35.4276275634766,30.4625835418701,"c(733079.67769634, 3372549.45191097)",2024-05-02 10:36:00,73642.65855586014
A00w,1264172250,2024-05-02T11:02:13Z,2024-05-02,0.277777777777778,1265763523,202381,35.427661895752,30.4626655578613,"c(733082.779510904, 3372558.61545392)",2024-05-02 10:56:00,73639.80912621091
A00w,1264172250,2024-05-02T11:16:58Z,2024-05-02,0,1265763523,202381,35.4455108642578,30.4612808227539,"c(734800.312229718, 3372442.07708553)",2024-05-02 11:16:00,75106.1043401033
A00w,1264172250,2024-05-02T11:32:00Z,2024-05-02,0,1265763523,202381,35.4456176757813,30.4609775543213,"c(734811.298538124, 3372408.67724059)",2024-05-02 11:16:00,75134.31252853351
A00w,1264172250,2024-05-02T11:46:59Z,2024-05-02,0.277777777777778,1265763523,202381,35.4453315734863,30.4611968994141,"c(734783.294339263, 3372432.40009028)",2024-05-02 11:36:00,75097.75745265267
A00w,1264172250,2024-05-02T12:16:49Z,2024-05-02,20,1265763523,202381,35.4272613525391,30.4626979827881,"c(733044.234353291, 3372561.3834714)",2024-05-02 12:16:00,73606.93969492533
A00w,1264172250,2024-05-02T12:47:02Z,2024-05-02,0,1265763523,202381,31.3517036437988,30.0841464996338,"c(341148.940102159, 3329255.09516289)",2024-05-02 12:36:00,343280.3061943669
A00w,1264172250,2024-05-02T13:02:10Z,2024-05-02,0,1265763523,202381,31.3516044616699,30.0842094421387,"c(341139.480947506, 3329262.2091396)",2024-05-02 12:56:00,343287.67023911246
A00w,1264172250,2024-05-02T13:16:49Z,2024-05-02,0,1265763523,202381,31.3515510559082,30.0842323303223,"c(341134.369967594, 3329264.82015241)",2024-05-02 13:16:00,343291.9595585031
A00w,1264172250,2024-05-02T13:31:48Z,2024-05-02,0,1265763523,202381,31.3515625,30.0842208862305,"c(341135.454721625, 3329263.53586238)",2024-05-02 13:16:00,343291.23294758104
A00w,1264172250,2024-05-02T13:46:48Z,2024-05-02,0,1265763523,202381,31.3515853881836,30.0842304229736,"c(341137.676072841, 3329264.56101857)",2024-05-02 13:36:00,343288.82508988143
A00w,1264172250,2024-05-02T14:01:48Z,2024-05-02,0,1265763523,202381,31.3516025543213,30.0842056274414,"c(341139.291006496, 3329261.78899917)",2024-05-02 13:56:00,343287.95980923175
A00w,1264172250,2024-05-02T14:16:48Z,2024-05-02,0,1265763523,202381,31.3515872955322,30.0841960906982,"c(341137.805022905, 3329260.75323438)",2024-05-02 14:16:00,343289.65864592814
A00w,1264172250,2024-05-02T14:31:48Z,2024-05-02,0,1265763523,202381,31.3515682220459,30.0841960906982,"c(341135.966602908, 3329260.7797551)",2024-05-02 14:16:00,343291.4312094903
A00w,1264172250,2024-05-02T15:32:17Z,2024-05-02,0,1265763523,202381,35.4281539916992,30.4611034393311,"c(733133.763160787, 3372386.44766518)",2024-05-02 15:16:00,73782.00407530593
A00w,1264172250,2024-05-03T04:21:46Z,2024-05-03,0,1265763523,202381,35.4279937744141,30.4610958099365,"c(733118.393931368, 3372385.27105785)",2024-05-03 04:16:00,73770.24706488223
A00w,1264172250,2024-05-03T04:41:39Z,2024-05-03,0,1265763523,202381,35.4279327392578,30.4611682891846,"c(733112.359336446, 3372393.18043756)",2024-05-03 04:36:00,73760.72001376991
