period,period_start
1,2024-05-01 09:56:00
2,2024-05-01 10:16:00
3,2024-05-01 10:36:00
4,2024-05-01 10:56:00
5,2024-05-01 11:16:00
6,2024-05-01 11:36:00
7,2024-05-01 11:56:00
8,2024-05-01 12:16:00
9,2024-05-01 12:36:00
10,2024-05-01 12:56:00
11,2024-05-01 13:16:00
12,2024-05-01 13:36:00
13,2024-05-01 13:56:00
14,2024-05-01 14:16:00
15,2024-05-01 14:36:00
16,2024-05-01 14:56:00
17,2024-05-01 15:16:00
18,2024-05-01 15:36:00
19,2024-05-01 15:56:00
20,2024-05-01 16:16:00
21,2024-05-01 16:36:00
22,2024-05-02 03:56:00
23,2024-05-02 04:16:00
24,2024-05-02 04:36:00
25,2024-05-02 04:56:00
26,2024-05-02 05:16:00
27,2024-05-02 05:36:00
28,2024-05-02 05:56:00
29,2024-05-02 06:16:00
30,2024-05-02 06:36:00
31,2024-05-02 06:56:00
32,2024-05-02 07:16:00
33,2024-05-02 07:36:00
34,2024-05-02 07:56:00
35,2024-05-02 08:16:00
36,2024-05-02 08:36:00
37,2024-05-02 08:56:00
38,2024-05-02 09:16:00
39,2024-05-02 09:36:00
40,2024-05-02 09:56:00
41,2024-05-02 10:16:00
42,2024-05-02 10:36:00
43,2024-05-02 10:56:00
44,2024-05-02 11:16:00
45,2024-05-02 11:36:00
46,2024-05-02 11:56:00
47,2024-05-02 12:16:00
48,2024-05-02 12:36:00
49,2024-05-02 12:56:00
50,2024-05-02 13:16:00
51,2024-05-02 13:36:00
52,2024-05-02 13:56:00
53,2024-05-02 14:16:00
54,2024-05-02 14:36:00
55,2024-05-02 14:56:00
56,2024-05-02 15:16:00
57,2024-05-02 15:36:00
58,2024-05-02 15:56:00
59,2024-05-02 16:16:00
60,2024-05-03 02:56:00
61,2024-05-03 03:16:00
62,2024-05-03 04:36:00
63,2024-05-03 04:56:00
64,2024-05-03 05:16:00
65,2024-05-03 05:36:00
66,2024-05-03 05:56:00
67,2024-05-03 06:16:00
68,2024-05-03 06:36:00
69,2024-05-03 06:56:00
70,2024-05-03 07:16:00
71,2024-05-03 07:36:00
72,2024-05-03 07:56:00
73,2024-05-03 08:16:00
74,2024-05-03 08:36:00
75,2024-05-03 08:56:00
76,2024-05-03 09:16:00
77,2024-05-03 09:36:00
78,2024-05-03 09:56:00
79,2024-05-03 10:16:00
80,2024-05-03 10:36:00
81,2024-05-03 10:56:00
82,2024-05-03 11:16:00
83,2024-05-03 11:36:00
84,2024-05-03 11:56:00
85,2024-05-03 12:16:00
86,2024-05-03 12:36:00
87,2024-05-03 12:56:00
88,2024-05-03 13:16:00
89,2024-05-03 13:36:00
90,2024-05-03 13:56:00
91,2024-05-03 14:16:00
92,2024-05-03 14:36:00
93,2024-05-03 14:56:00
94,2024-05-03 15:16:00
95,2024-05-03 15:36:00
96,2024-05-03 15:56:00
97,2024-05-04 04:16:00
98,2024-05-04 04:56:00
99,2024-05-04 05:16:00
100,2024-05-04 05:36:00
101,2024-05-04 05:56:00
102,2024-05-04 06:16:00
103,2024-05-04 06:36:00
104,2024-05-04 06:56:00
105,2024-05-04 07:16:00
106,2024-05-04 07:36:00
107,2024-05-04 07:56:00
108,2024-05-04 08:16:00
109,2024-05-04 08:36:00
110,2024-05-04 08:56:00
111,2024-05-04 09:16:00
112,2024-05-04 09:36:00
113,2024-05-04 09:56:00
114,2024-05-04 10:16:00
115,2024-05-04 10:36:00
116,2024-05-04 10:56:00
117,2024-05-04 11:16:00
118,2024-05-04 11:36:00
119,2024-05-04 11:56:00
120,2024-05-04 12:16:00
121,2024-05-04 12:36:00
122,2024-05-04 12:56:00
123,2024-05-04 13:16:00
124,2024-05-04 13:36:00
125,2024-05-04 13:56:00
126,2024-05-04 14:16:00
127,2024-05-04 14:36:00
128,2024-05-04 14:56:00
129,2024-05-04 15:16:00
130,2024-05-04 15:36:00
131,2024-05-04 15:56:00
132,2024-05-05 03:36:00
133,2024-05-05 04:16:00
134,2024-05-05 05:16:00
135,2024-05-05 05:36:00
136,2024-05-05 05:56:00
137,2024-05-05 06:16:00
138,2024-05-05 06:36:00
139,2024-05-05 06:56:00
140,2024-05-05 07:16:00
141,2024-05-05 07:36:00
142,2024-05-05 07:56:00
143,2024-05-05 08:16:00
144,2024-05-05 08:36:00
145,2024-05-05 08:56:00
146,2024-05-05 09:16:00
147,2024-05-05 09:36:00
