local_identifier,timestamp,ground_speed,location_long,location_lat,period,dist_to_carcass,geometry
A03w,2024-05-02T12:15:41Z,0,34.8133277893066,30.8616580963135,2024-05-02 11:56:00,15.31200755393348,"c(673374.48132284, 3415677.97152184)"
A16w,2024-05-05T08:23:09Z,0.555555555555556,34.8133583068848,30.86159324646,2024-05-05 08:16:00,8.128926332999947,"c(673377.516355681, 3415670.83035893)"
A19w,2024-05-05T06:53:40Z,0,34.8132514953613,30.8616104125977,2024-05-05 06:36:00,13.379635429697235,"c(673367.271440228, 3415672.56733753)"
A29w,2024-05-02T12:24:34Z,0,34.8133087158203,30.8614521026611,2024-05-02 12:16:00,8.377325759796161,"c(673373.028219094, 3415655.1076627)"
A32w,2024-05-02T13:26:02Z,0,34.8134422302246,30.8615875244141,2024-05-02 13:16:00,11.867467695934891,"c(673385.551954248, 3415670.32641139)"
A52w,2024-05-02T12:55:35Z,0,34.8131675720215,30.8615779876709,2024-05-02 12:36:00,18.13270128490822,"c(673359.304511292, 3415668.84273617)"
A56w,2024-05-03T10:10:00Z,3.88888888888889,34.8155632019043,30.8608989715576,2024-05-03 09:56:00,223.0495090911926,"c(673589.614221744, 3415597.29678625)"
A57w,2024-05-03T10:44:46Z,0,34.8130722045898,30.8612499237061,2024-05-03 10:36:00,39.793330472480186,"c(673350.775350141, 3415632.32901306)"
A73w,2024-05-03T10:15:05Z,0.277777777777778,34.8138236999512,30.8609256744385,2024-05-03 09:56:00,80.29559855480063,"c(673423.222360693, 3415597.5533586)"
A75w,2024-05-02T10:25:04Z,2.22222222222222,34.8131904602051,30.8617477416992,2024-05-02 10:16:00,29.18942456082683,"c(673361.187659678, 3415687.69538182)"
E00w,2024-05-05T08:13:11Z,0,34.8134155273438,30.8615989685059,2024-05-05 07:56:00,10.969975084425363,"c(673382.977847778, 3415671.55350875)"
E12w,2024-05-02T13:26:01Z,0,34.8133506774902,30.8615684509277,2024-05-02 13:16:00,5.308676103143528,"c(673376.831420769, 3415668.06994464)"
E13w,2024-05-02T10:55:27Z,0,34.8134574890137,30.8615703582764,2024-05-02 10:36:00,12.063063977203043,"c(673387.042004018, 3415668.44725637)"
E17w,2024-05-02T10:34:40Z,0,34.813591003418,30.8617324829102,2024-05-02 10:16:00,33.21734485067971,"c(673399.517625331, 3415686.62601754)"
E34w,2024-05-02T11:05:08Z,0,34.8132019042969,30.8616199493408,2024-05-02 10:56:00,17.56826685165183,"c(673362.512053404, 3415673.54746828)"
E41w,2024-05-05T08:36:59Z,0,34.8133201599121,30.8618125915527,2024-05-05 08:36:00,32.43765861710459,"c(673373.473628058, 3415695.0853528)"
E45w,2024-05-05T08:12:55Z,0.277777777777778,34.8133697509766,30.8616313934326,2024-05-05 07:56:00,12.4836222759175,"c(673378.542040427, 3415675.07669455)"
E51w,2024-05-02T14:15:46Z,0.277777777777778,34.8132629394531,30.8616218566895,2024-05-02 13:56:00,13.689924340706918,"c(673368.345197716, 3415673.85367815)"
E52w,2024-05-05T08:13:23Z,0,34.8133888244629,30.861608505249,2024-05-05 07:56:00,10.580675137994294,"c(673380.407175649, 3415672.56917857)"
E76w,2024-05-02T11:54:58Z,0,34.8139762878418,30.8611221313477,2024-05-02 11:36:00,74.80915892057533,"c(673437.460129987, 3415619.56749714)"
E79w,2024-05-03T10:44:45Z,0,34.8136520385742,30.8617153167725,2024-05-03 10:36:00,36.41727868273017,"c(673405.3851051, 3415684.81796641)"
J11w,2024-05-02T12:34:48Z,0,34.8134422302246,30.8616371154785,2024-05-02 12:16:00,15.887165970184181,"c(673385.462674559, 3415675.82354309)"
J16w,2024-05-02T11:04:19Z,0,34.8132171630859,30.8616847991943,2024-05-02 10:56:00,21.9207256629021,"c(673363.854461848, 3415680.75971987)"
J17w,2024-05-04T14:31:58Z,0.277777777777778,34.8134117126465,30.8615875244141,2024-05-04 14:16:00,9.756304318849367,"c(673382.633664211, 3415670.27901546)"
J34w,2024-05-03T10:14:41Z,0,34.8139114379883,30.8609886169434,2024-05-03 09:56:00,80.08568204010659,"c(673431.499159543, 3415604.66678227)"
J35w,2024-05-05T09:32:46Z,0.555555555555556,34.8133773803711,30.8615951538086,2024-05-05 09:16:00,8.798964539333713,"c(673379.336853107, 3415671.07140855)"
T18w,2024-05-02T12:45:46Z,0,34.8133850097656,30.8616046905518,2024-05-02 12:36:00,10.049581063038211,"c(673380.049256924, 3415672.14039794)"
T25b,2024-05-02T12:34:42Z,0,34.8130798339844,30.8612174987793,2024-05-02 12:16:00,42.127966361474414,"c(673351.563288004, 3415628.74658178)"
T76w,2024-05-05T06:53:04Z,0,34.8133239746094,30.8617687225342,2024-05-05 06:36:00,27.560508141164767,"c(673373.917386896, 3415690.22842973)"
T99b,2024-05-03T11:24:21Z,0,34.8132781982422,30.8615875244141,2024-05-03 11:16:00,9.786868203172252,"c(673369.866145563, 3415670.07166768)"
